sentence_id	sentence	locale	reason
26405141a0c2eaa0d16ce12933431d37c812ce876315a607c0024ce3ae5365e9	Tháng mười về chẳng rét buốt nàng Bân	vi	grammar-or-spelling
a58556a3d76cd0a4614d715fa6e1f0b64035abedf32d88ebc726b46b1200b280	Chào nhau nụ ấm hơi người	vi	grammar-or-spelling
363086cb6a8c3adc6182921d8bbd3ac6305542b9bc665bf0b22a105be021f3da	A hồi liền quay sang thì kể	vi	grammar-or-spelling
2fa1091133ab5d204ff89e7a5f184725ce11e573d2e439d9df6849f075c228da	Mà có người chết thì người ta cũng còn nguyên vẹn	vi	grammar-or-spelling
3332b3d5d078ea1319a2a28f3d3e0f08fb3de69fc019f214d94a811dafad596c	Lời mẹ khuyên lơn	vi	grammar-or-spelling
a5870702c5058c30fa263d6844e1653a1b8d44a1304aad7267cdcd817724d990	Nhưng vẫn giá con tim gầy giữa phố	vi	grammar-or-spelling
331b7c8a9d2a0c92ad2b44485cd7b0ec2e45b73e640fa93f509f484d11efb63b	Để mẹ mãi còn	vi	grammar-or-spelling
1e72b1a718fbc4ef0f2e1db7178d97dbe44181cbeb296e848c152e3d92ecc90c	Anh chàng bị thương vẫn không lên một tiếng	vi	grammar-or-spelling
2cf453fd0be2acc029c1a5d914cd0b71925f99209dd9a4eb2bfa576dcea2d6ac	Thảo không đáp lại mà đi dần khỏi em	vi	grammar-or-spelling
2aa58ffac4047d9b3325fcb3c31c853f02bacb6715a4bc82d3289c4bdc14474d	Lúc nào Phương khỏe bọn Cháu sẽ đến thăm sau ạ	vi	grammar-or-spelling
15d8b0c925c7d95244ace9eb40d8affa87f9348d94c471eb588042b0b09064b1	Là trong nhà lại xuất hiện tiếng động lạ không	vi	grammar-or-spelling
32bd560fc8514383b17a7de000c455967440f7078681373c3767ff069556dadc	Lúc nửa đêm tự nhiên cửa bị bật ra	vi	difficult-pronounce
